Date,State,City,Age,Gender,Place of Death,Cause,#
2019-02-23,MT,Cuiaba,30 - 39,M,OUTROS,OUTRAS,1
2019-02-23,MT,Cuiaba,50 - 59,M,OUTROS,OUTRAS,2
2020-02-23,MT,Cuiaba,50 - 59,M,OUTROS,OUTRAS,1
2019-02-23,MT,Cuiaba,70 - 79,M,OUTROS,OUTRAS,2
2020-02-23,MT,Cuiaba,70 - 79,M,OUTROS,OUTRAS,1
2020-02-23,MT,Cuiaba,< 9,M,OUTROS,OUTRAS,1
2020-02-23,MT,Cuiaba,60 - 69,M,OUTROS,OUTRAS,2
2020-02-23,MT,Cuiaba,80 - 89,M,OUTROS,OUTRAS,2
2019-02-23,MT,Cuiaba,30 - 39,F,OUTROS,OUTRAS,1
2019-02-23,MT,Cuiaba,50 - 59,F,OUTROS,OUTRAS,1
2019-02-23,MT,Cuiaba,60 - 69,F,OUTROS,OUTRAS,1
2020-02-23,MT,Cuiaba,60 - 69,F,OUTROS,OUTRAS,3
2019-02-23,MT,Cuiaba,70 - 79,F,OUTROS,OUTRAS,1
2020-02-23,MT,Cuiaba,70 - 79,F,OUTROS,OUTRAS,2
2019-02-23,MT,Cuiaba,90 - 99,F,OUTROS,OUTRAS,1
2019-02-25,MT,Cuiaba,40 - 49,F,OUTROS,OUTRAS,1
2019-02-25,MT,Cuiaba,50 - 59,F,OUTROS,OUTRAS,1
